patent_id,source,title,date,assignee,abstract,scraped_at
10739728,USPTO,Molecular clock,2020-08-11,Massachusetts Institute of Technology,"A molecular clock which utilizes a rotational spectrum of gaseous molecules in a sub-THz region for clock stabilization is described. The molecular clock has a fast start-up characteristic and is also robust against mechanical vibration or variation of electromagnetic field. Also described is a chip-scale implementation of a molecular clock. In an embodiment, a molecular clock chipset only consumes a DC power of 66 mW. While providing a highly stable, compact and energy efficient time generator of portable devices.",2026-02-01
10827537,USPTO,Network core software defined networking enabled onboarding of micro services for an advanced wireless communications system,2020-11-03,"AT&T Intellectual Property I, L.P.","A network core software defined networking (SDN) enabled onboarding of microservices in a 6G network is provided to enable a one-time registration of a device with a network. Rather than having a core network facilitates establishing communications channels every time a device attaches or connects to the mobile network, the SDN enabled onboarding system disclosed herein can onboard the device, authenticate the device, register the device with the network, and determine addressing for the device. When the device reconnects to the network, the device has already been onboarded, and so the device does not need to go through these steps again, but can rather immediately start communicating with desired network service.",2026-02-01
10862423,USPTO,Multi-stage sub-THz frequency generator incorporating injection locking,2020-12-08,University College Dublin,"A novel and useful mm-wave frequency generation system is disclosed that takes advantage of injection locking techniques to generate an output oscillator signal with improved phase noise (PN) performance and power efficiency. Low frequency and high frequency DCOs as well as a pulse generator make up the oscillator system. A fundamental low frequency (e.g., 30 GHz) signal and its sufficiently strong higher (e.g., fifth) harmonic (e.g., 150 GHz) are generated simultaneously in a single oscillator system. The second high frequency DCO having normally poor phase noise is injected locked to the first low frequency DCO having good phase noise. Due to injection locking, the high frequency output signal generated by the second DCO exhibits good phase noise since the phase noise of the second DCO tracks that of the first DCO.",2026-02-01
10966072,USPTO,Smart cascading security functions for 6G or other next generation network,2021-03-30,"AT&T Intellectual Property I, L.P.","In a 6G network, microservices can be utilized in the absence of a core network. For example, after a mobile device has authenticated, through its carrier network, with a transport service layer, microservices can be allocated to the mobile device without having to be transmitted via the core network. Thus, removing the core network from the process can generate a direct line of microservices from the transport layer to the end-user. Furthermore, additional microservices and/or resources can be access through a microservices library. Consequently, packets can be securely transmitted be a wireless network facilitating sending packet profile data from one to many node devices in anticipation of the packet traversing the various node devices.",2026-02-01
10979275,USPTO,Link adaptation method using a polar modulation constellation,2021-04-13,COMMISSARIAT A L'ENERGIE ATOMIQUE ET AUX ENERGIES ALTERNATIVES,"The present invention relates to a method for adapting a link using a polar-modulation (PQAM) constellation. It applies in particular to the communications in the sub-THz band, in which the oscillator of the receiver has phase fluctuations. In a PQAM-modulation constellation, the modulation symbols are distributed on concentric circles equidistant in the complex plane, each circle including the same number of symbols, the angular distribution of the symbols on a circle being uniform and identical regardless of the circle. The adaptation of the link is carried out by taking into account the thermal noise as well as the phase noise.",2026-02-01
10980028,USPTO,Adaptive beam sweeping for 5G or other next generation network,2021-04-13,"AT&T Intellectual Property I, L.P.","Given real-time user equipment (UE) measurements from an open radio access network (O-RAN) infrastructure, a radio access network intelligent controller (RIC) can compute a UE distribution context space. The O-RAN can comprise gNode-Bs, centralized units, and distributed units. The UE distribution context space computations can be performed by a UE context correlator module of the RIC. The UE context correlator module can also utilize a pre-defined UE context model, which contains definitions and values for various UE context attributes to generate adaptive beam-forming patterns.",2026-02-01
11043998,USPTO,Method for beamforming weights transmission over O-RAN fronthaul interface in C-RANS,2021-06-22,"Mavenir Networks, Inc.","A method of enabling an Open RAN-compatible radio unit (O-RU) to apply different beamforming weights to different physical resource blocks (PRBs) using a single sectionId and a single section extension type includes: specifying a first mode of operation in which the number of beamforming weights in the section extension type 1 is equal to L*numPrbs, L is the number of TRX and numPrbs is the number of physical resource blocks; signaling, by an Open RAN-compatible distributed unit (O-DU) to the O-RU, the first mode of operation by specifying a value of parameter extLen to be zero, wherein extLen is the length of the section extension in units of 32-bit words; and the O-RU applying the kth beamforming weights (bfwI and bfwQ), k=1, 2, . . . , L*numPrbc in section extension type 1 for TRX j, j=0, 1, . . . , L−1 to the ith PRB, i=1, 2, . . . , numPrbc defined under the sectionId of the C-plane message.",2026-02-01
11233691,USPTO,Third generation partnership project (3GPP) plug and play (PnP) operation in a hybrid open radio access network (O-RAN) environment,2022-01-25,"Cisco Technology, Inc.","Presented herein are techniques to facilitate Third (3rd) Generation Partnership Project (3GPP) Plug and Play (PnP) operation in a hybrid Open Radio Access Network (O-RAN) architecture. In one example, a method is provided that may include establishing a first network configuration session between a first network entity and a second network entity using first network configuration session triggers, wherein the second network entity is identified in a list of known network entities; repeatedly transmitting second network configuration session triggers to establish a second network configuration session between the first network entity and a third network entity not identified in the list of known network entities; and upon establishing the second network configuration session between the first network entity and the third network entity not identified in the list of known network entities, stopping the transmitting of the second network configuration session triggers.",2026-02-01
11323166,USPTO,Method for beamforming weights transmission over O-RAN fronthaul interface in C-RANs,2022-05-03,"Mavenir Networks, Inc.","A method of enabling an Open RAN-compatible radio unit (O-RU) to apply different beamforming weights to different physical resource blocks (PRBs) using a single sectionId and a single section extension type includes: specifying a first mode of operation in which flexible sending of beamforming weights from Open RAN-compatible distributed unit (O-DU) to Open RAN-compatible radio unit (O-RU) is provided; and providing, by the O-DU to the O-RU, i) a first parameter specifying the number of bundled physical resource blocks (PRBs) per a set of in-phase/quadrature (I/Q) beamforming weight pairs, each beamforming weight pair comprising an in-phase value and a quadrature value, and ii) a plurality of beamforming weight pairs for a plurality of transceivers associated with each bundle of PRBs. The method provides a new section extension type sent by the O-DU to the O-RU and including a compression parameter for processing or decompressing the beamforming weights.",2026-02-01
11337131,USPTO,Method and apparatus for recommending real-time handover to a target cell in open-radio access network (O-RAN) environment,2022-05-17,Sterlite Technologies Limited,"A method and radio access network (RAN) controller (102) for providing real-time target cell recommendation for handover in an open-RAN (O-RAN) environment (400) is disclosed. The O-RAN environment has a virtualized network architecture having at least one RAN controller, the RAN controller is connected with a plurality of E2 nodes, the plurality of E2 nodes are connected to a plurality of user equipment (UEs) (112a, 112b, 112c, 112d and 112e) positioned in a serving cell (110) adjacent to a plurality of neighbour cells (108a,108b). The method comprising executing a first handover process to enable checking, at the atleast one UE, if triggering of handover is required and a second handover process to identify a target neighbour cell (108a/108b) for handover of the atleast one UE from the serving cell to the target neighbour cell and recommending the handover of the atleast one UE from the serving cell to the identified target neighbour cell based on the first handover process and the second handover process. The first handover process and the second handover process are triggered simultaneously.",2026-02-01
